threshold,clean_alerts_per_1000_vectors,phase1_affected_detection_rate,phase1_control_detection_rate,phase2_price_deviation_strict_recall,phase2_price_spike_strict_recall,phase2_stale_recall,phase4_implausible_price_strict_recall
1.0,75.96584165046346,0.7424400417101147,0.7441696113074205,0.4801864801864802,0.5792563600782779,0.514114627887083,0.5844544095665172
2.0,39.513334349401056,0.6725755995828988,0.6459363957597173,0.40093240093240096,0.49510763209393344,0.378956372968349,0.4439461883408072
3.0,25.13813132829302,0.6089676746611054,0.5795053003533569,0.34498834498834496,0.44422700587084146,0.2763045337895637,0.3991031390134529
4.0,17.366444825213257,0.5620437956204379,0.5151943462897527,0.317016317016317,0.4207436399217221,0.2215568862275449,0.3662182361733931
5.0,12.357846736960079,0.46715328467153283,0.43745583038869257,0.27505827505827507,0.3796477495107632,0.17194183062446536,0.3482810164424514
6.0,10.253970746486484,0.44525547445255476,0.4106007067137809,0.21445221445221446,0.35812133072407043,0.12917023096663816,0.3034379671150972
7.0,7.366491010109874,0.42127215849843586,0.384452296819788,0.16083916083916083,0.3561643835616438,0.09666381522668947,0.2750373692077728
8.0,4.5048748158377245,0.37643378519290926,0.33286219081272084,0.13752913752913754,0.3287671232876712,0.0658682634730539,0.23916292974588937
9.0,2.238427989278946,0.30761209593326383,0.25653710247349826,0.07459207459207459,0.2583170254403131,0.03421727972626176,0.18834080717488788
9.5,0.32668116872420383,0.22940563086548488,0.17031802120141343,0.05827505827505827,0.162426614481409,0.022241231822070145,0.07922272047832586
10.0,0.23338767756168377,0.07924921793534932,0.038869257950530034,0.02564102564102564,0.06262230919765166,0.00427715996578272,0.06278026905829596
10.5,0.17673420438048348,0.03232533889468196,0.012720848056537103,0.02564102564102564,0.05283757338551859,0.003421727972626176,0.06278026905829596
11.0,0.05757717111350246,0.0,0.0,0.0,0.0,0.0,0.03587443946188341
