threshold,clean_alerts_per_1000_vectors,phase1_affected_detection_rate,phase1_control_detection_rate,phase2_price_deviation_strict_recall,phase2_price_spike_strict_recall,phase2_stale_recall,phase4_implausible_price_strict_recall
1.0,106.35290350489626,0.8315789473684211,0.7876230661040787,0.47699757869249393,0.9960159362549801,0.6377952755905512,0.8982558139534884
1.5,79.96588549163532,0.7894736842105263,0.7264416315049227,0.44552058111380144,0.9940239043824701,0.5616797900262467,0.8531976744186046
2.0,46.32891866553157,0.7357894736842105,0.6786216596343179,0.4067796610169492,0.9940239043824701,0.44181977252843396,0.8052325581395349
3.0,8.947053236182931,0.5863157894736842,0.5140646976090014,0.29539951573849876,0.9840637450199203,0.14085739282589677,0.6976744186046512
3.5,3.3751195008443955,0.47578947368421054,0.37341772151898733,0.27602905569007263,0.9422310756972112,0.0778652668416448,0.6497093023255814
4.0,0.4292023886313709,0.3042105263157895,0.12939521800281295,0.03389830508474576,0.16533864541832669,0.012248468941382326,0.10755813953488372
4.5,0.02894191142851425,0.12421052631578948,0.005625879043600563,0.0,0.0,0.0008748906386701663,0.0014534883720930232
5.0,0.00030789267477142817,0.002105263157894737,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
