threshold,clean_alerts_per_1000_vectors,phase1_affected_detection_rate,phase1_control_detection_rate,phase2_price_deviation_strict_recall,phase2_price_spike_strict_recall,phase2_stale_recall,phase4_implausible_price_strict_recall
1.0,77.59566946844086,0.7291886195995785,0.7287535410764873,0.5604651162790698,0.6764132553606238,0.506872852233677,0.5994020926756353
1.5,53.728297385664185,0.7007376185458377,0.6820113314447592,0.5162790697674419,0.6198830409356725,0.4518900343642612,0.5650224215246636
2.0,39.67211267362784,0.6733403582718651,0.6458923512747875,0.49534883720930234,0.5984405458089669,0.37628865979381443,0.5426008968609866
3.0,25.03861817592892,0.6238145416227608,0.5892351274787535,0.4232558139534884,0.5653021442495126,0.27920962199312716,0.4977578475336323
3.5,21.024852647450306,0.589041095890411,0.5552407932011332,0.386046511627907,0.5536062378167641,0.2508591065292096,0.45440956651718983
4.0,17.384875961528692,0.5605900948366702,0.5120396600566572,0.3767441860465116,0.5380116959064327,0.22079037800687284,0.4334828101644245
4.5,13.10508608381676,0.5384615384615384,0.4745042492917847,0.3488372093023256,0.52046783625731,0.20103092783505155,0.414050822122571
5.0,11.94800332407277,0.4794520547945205,0.4511331444759207,0.30697674418604654,0.44834307992202727,0.16924398625429554,0.3976083707025411
6.0,10.045806067633611,0.458377239199157,0.4114730878186969,0.2744186046511628,0.4444444444444444,0.1331615120274914,0.3721973094170404
7.0,7.496406054147656,0.4320337197049526,0.36756373937677056,0.23255813953488372,0.4269005847953216,0.09879725085910653,0.34080717488789236
8.0,4.777353938314988,0.38250790305584825,0.3073654390934844,0.16511627906976745,0.39571150097465885,0.05240549828178694,0.2705530642750374
9.0,2.5287708104782802,0.321390937829294,0.2415014164305949,0.11627906976744186,0.33528265107212474,0.03006872852233677,0.17937219730941703
10.0,0.1982866677155744,0.12539515279241306,0.06728045325779036,0.06046511627906977,0.13060428849902533,0.00859106529209622,0.0687593423019432
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
