threshold,clean_alerts_per_1000_vectors,phase1_affected_detection_rate,phase1_control_detection_rate,phase2_price_deviation_strict_recall,phase2_price_spike_strict_recall,phase2_stale_recall,phase4_implausible_price_strict_recall
1.0,51.6479845991961,0.0,0.0,0.5574468085106383,0.9678030303030303,0.13157894736842105,0.0
1.5,32.44336215371229,0.0,0.0,0.5063829787234042,0.928030303030303,0.0865874363327674,0.0
2.0,20.69391177786153,0.0,0.0,0.425531914893617,0.8977272727272727,0.057724957555178265,0.0
3.0,10.258171038197998,0.0,0.0,0.23191489361702128,0.7765151515151515,0.021222410865874362,0.0
3.5,7.18575597085775,0.0,0.0,0.2127659574468085,0.7253787878787878,0.013582342954159592,0.0
4.0,5.380361954405611,0.0,0.0,0.19574468085106383,0.6685606060606061,0.008488964346349746,0.0
4.5,4.079970045828291,0.0,0.0,0.18936170212765957,0.6098484848484849,0.0050933786078098476,0.0
5.0,3.052208859932101,0.0,0.0,0.17659574468085107,0.5473484848484849,0.0050933786078098476,0.0
6.0,1.9203550904181859,0.0,0.0,0.14893617021276595,0.4393939393939394,0.001697792869269949,0.0
7.0,1.1586423020625944,0.0,0.0,0.12340425531914893,0.32765151515151514,0.0008488964346349745,0.0
8.0,0.7889605528908195,0.0,0.0,0.09574468085106383,0.24431818181818182,0.0008488964346349745,0.0
9.0,0.5720499779109415,0.0,0.0,0.036170212765957444,0.13825757575757575,0.0008488964346349745,0.0
10.0,0.40580799878027984,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.2758453465869726,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.14297422514552297,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.07715097374019654,0.0,0.0,0.0,0.0,0.0,0.0
